dubious,title,rating,submitterid,imdbid,visible,id,date,year,description,status,version
,"Shawshank Redemption, The",0.0,1.0,0111161,1,339.0,2009-06-13 14:43:18,1994.0,,,
0,"Godfather, The",2.0,3113.0,0068646,1,2224.0,2011-04-23 18:52:32,1972.0,,,
1,"Dark Knight, The",3.0,1.0,0468569,1,66.0,2008-07-23 00:00:00,2008.0,,,
0,"Godfather: Part II, The",2.0,6585.0,0071562,1,3896.0,2013-02-14 11:01:57,1974.0,,,
,12 Angry Men,0.0,17.0,0050083,1,302.0,2009-03-24 15:18:12,1957.0,,,
0,Schindler&#39;s List,3.0,1761.0,0108052,1,1497.0,2010-08-23 23:37:44,1993.0,,,
,"Lord of the Rings: The Return of the King, The",1.0,6.0,0167260,1,248.0,2009-01-02 22:13:37,2003.0,,,
,Pulp Fiction,3.0,1.0,0110912,1,91.0,2008-07-29 17:23:28,1994.0,,,
,"Lord of the Rings: The Fellowship of the Ring, The",1.0,6.0,0120737,1,246.0,2009-01-02 22:03:45,2001.0,,,
0,"Good, the Bad and the Ugly, The",1.0,2171.0,0060196,1,1725.0,2010-11-02 05:35:40,1966.0,,,
0,Forrest Gump,1.0,577.0,0109830,1,776.0,2010-05-03 14:20:32,1994.0,,,
,Fight Club,1.0,17.0,0137523,1,210.0,2008-10-25 14:19:28,1999.0,,,
1,Inception,3.0,1228.0,1375666,1,1169.0,2010-07-13 15:21:23,2010.0,,,
,"Lord of the Rings: The Two Towers, The",3.0,6.0,0167261,1,247.0,2009-01-02 22:10:41,2002.0,,,
0,Star Wars: Episode V - The Empire Strikes Back,0.0,421.0,0080684,1,670.0,2010-01-26 22:29:43,1980.0,,,
0,"Matrix, The",3.0,1.0,0133093,1,36.0,2008-07-20 00:00:00,1999.0,,,
1,Goodfellas,3.0,3100.0,0099685,1,2211.0,2011-04-23 18:22:33,1990.0,,,
1,One Flew Over the Cuckoo&#39;s Nest,2.0,1437.0,0073486,1,1321.0,2010-07-25 18:55:11,1975.0,,,
0,Se7en,1.0,1.0,0114369,1,69.0,2008-07-24 00:00:00,1995.0,,,
0,Shichinin no samurai,0.0,5912.0,0047478,1,3600.0,2012-10-16 02:18:09,1954.0,,,
1,It&#39;s a Wonderful Life,3.0,3124.0,0038650,1,2235.0,2011-04-23 20:14:50,1946.0,,,
0,"Silence of the Lambs, The",3.0,1.0,0102926,1,32.0,2008-07-19 00:00:00,1991.0,,,
0,City of God,1.0,2724.0,0317248,1,2038.0,2011-02-15 12:38:33,2002.0,,,
0,Saving Private Ryan,0.0,1136.0,0120815,1,1090.0,2010-07-04 22:58:24,1998.0,,,
0,La vita &egrave; bella,0.0,344.0,0118799,1,614.0,2009-12-28 04:16:39,1997.0,,,
0,Interstellar,3.0,11170.0,0816692,1,5902.0,2014-11-05 08:20:49,2014.0,,,
0,"Green Mile, The",1.0,6166.0,0120689,1,3714.0,2012-12-06 01:38:27,1999.0,,,
0,Star Wars,1.0,420.0,0076759,1,669.0,2010-01-26 22:26:54,1977.0,,,
1,Terminator 2: Judgement Day,3.0,715.0,0103064,1,847.0,2010-05-27 20:28:27,1991.0,,,
,Back to the Future,2.0,1.0,0088763,1,149.0,2008-08-09 10:58:44,1985.0,,,
0,Spirited Away,3.0,743.0,0245429,1,864.0,2010-05-28 06:02:51,2001.0,,,
0,Psycho,3.0,2725.0,0054215,1,2039.0,2011-02-15 12:53:30,1960.0,,,
0,"Pianist, The",1.0,10307.0,0253474,1,5539.0,2014-06-06 03:27:28,2002.0,,,
1,Gisaengchung,3.0,17199.0,6751668,1,8768.0,2019-06-21 10:33:22,2019.0,,,
0,"Professional, The",3.0,2226.0,0110413,1,1755.0,2010-11-14 23:23:19,1994.0,,,
,"Lion King, The",1.0,1.0,0110357,1,100.0,2008-07-30 01:03:58,1994.0,,,
0,Gladiator,0.0,1221.0,0172495,1,1163.0,2010-07-11 07:33:45,2000.0,,,
0,American History X,2.0,3792.0,0120586,1,2548.0,2011-07-18 07:16:21,1998.0,,,
0,"Departed, The",1.0,1584.0,0407887,1,1415.0,2010-08-01 13:05:11,2006.0,,,
0,"Usual Suspects, The",1.0,1.0,0114814,1,54.0,2008-07-20 00:00:00,1995.0,,,
0,"Prestige, The",1.0,2722.0,0482571,1,2036.0,2011-02-15 12:14:40,2006.0,,,
0,Whiplash,1.0,11003.0,2582802,1,5818.0,2014-10-08 16:30:06,2014.0,,,
0,Casablanca,1.0,1121.0,0034583,1,1076.0,2010-07-04 14:24:27,1942.0,,,
0,Untouchable,1.0,4471.0,1675434,1,2919.0,2011-12-10 23:24:52,2011.0,,,
0,Hara-Kiri,0.0,19164.0,0056058,1,9818.0,2021-05-13 20:55:28,1962.0,,,
0,Grave of the Fireflies,0.0,11101.0,0095327,1,5867.0,2014-10-23 17:59:51,1988.0,,,
0,Modern Times,0.0,1440.0,0027977,1,1323.0,2010-07-26 02:04:38,1936.0,,,
0,Once Upon a Time in the West,1.0,3115.0,0064116,1,2226.0,2011-04-23 19:00:58,1968.0,,,
1,Rear Window,3.0,2908.0,0047396,1,2132.0,2011-03-21 09:57:12,1954.0,,,
0,City Lights,3.0,4074.0,0021749,1,2705.0,2011-09-23 17:50:12,1931.0,,,
0,Alien,3.0,1.0,0078748,1,13.0,2008-07-19 00:00:00,1979.0,,,
0,Cinema Paradiso,1.0,9048.0,0095765,1,4998.0,2013-12-28 02:23:34,1988.0,,,
0,Apocalypse Now,0.0,3116.0,0078788,1,2227.0,2011-04-23 19:05:44,1979.0,,,
0,Memento,1.0,1.0,0209144,1,52.0,2008-07-20 00:00:00,2000.0,,,
,Raiders of the Lost Ark,3.0,1.0,0082971,1,340.0,2009-06-14 10:28:13,1981.0,,,
0,Django Unchained,1.0,6307.0,1853728,1,3792.0,2012-12-31 15:46:31,2012.0,,,
0,WALL-E,1.0,1.0,0910970,1,3.0,2008-07-19 00:00:00,2008.0,,,
0,Das Leben Der Anderen,0.0,597.0,0405094,1,791.0,2010-05-12 00:05:38,2006.0,,,
0,Sunset Blvd.,3.0,338.0,0043014,1,608.0,2009-12-28 04:08:44,1950.0,,,
0,Paths of Glory,0.0,1376.0,0050825,1,1274.0,2010-07-23 01:06:37,1957.0,,,
0,"Shining, The",2.0,862.0,0081505,1,930.0,2010-06-10 19:30:23,1980.0,,,
0,"Great Dictator, The",3.0,5653.0,0032553,1,3470.0,2012-08-13 07:55:07,1940.0,,,
0,Witness for the Prosecution,1.0,8951.0,0051201,1,4933.0,2013-12-10 00:56:28,1957.0,,,
0,Avengers: Infinity War,3.0,16012.0,4154756,1,8178.0,2018-04-28 14:05:24,2018.0,,,
,Aliens,3.0,26.0,0090605,1,283.0,2009-02-17 08:15:07,1986.0,,,
,American Beauty,3.0,1.0,0169547,1,71.0,2008-07-25 16:32:50,1999.0,,,
0,Spider-Man : Into the Spider-Verse,1.0,16682.0,4633694,1,8523.0,2018-12-14 21:07:25,2018.0,,,
,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,0.0,1.0,0057012,1,341.0,2009-06-14 15:44:02,1964.0,,,
0,"Dark Knight Rises, The",1.0,5547.0,1345836,1,3437.0,2012-07-19 12:04:40,2012.0,,,
0,Oldboy,1.0,7286.0,0364569,1,4183.0,2013-05-30 17:29:52,2003.0,,,
1,Joker,3.0,17373.0,7286456,1,8863.0,2019-10-08 00:22:08,2019.0,,,
0,Amadeus,3.0,401.0,0086879,1,613.0,2010-01-21 21:12:06,1984.0,,,
,Toy Story,1.0,1.0,0114709,1,87.0,2008-07-28 15:55:31,1995.0,,,
1,Inglourious Basterds,3.0,277.0,0361748,1,557.0,2009-12-07 23:20:07,2009.0,,,
,Braveheart,2.0,17.0,0112573,1,205.0,2008-10-23 16:19:58,1995.0,,,
0,Coco,3.0,15462.0,2380307,1,7930.0,2017-11-29 03:38:30,2017.0,,,
0,Das Boot,0.0,2950.0,0082096,1,2143.0,2011-03-27 02:59:06,1981.0,,,
0,Top Gun: Maverick,3.0,20129.0,1745960,1,10333.0,2022-05-29 16:35:37,2022.0,,,
0,Avengers: Endgame,3.0,17090.0,4154796,1,8720.0,2019-04-25 11:11:58,2019.0,,,
,Mononoke-hime,3.0,21.0,0119698,1,326.0,2009-05-18 07:58:36,1997.0,,,
0,Once Upon A Time In America,1.0,12180.0,0087843,1,6293.0,2015-06-05 05:32:48,1984.0,,,
0,Good Will Hunting,0.0,354.0,0119217,1,623.0,2009-12-28 23:23:09,1997.0,,,
0,Kimi no na wa.,3.0,14309.0,5311514,1,7328.0,2016-12-15 06:28:15,2016.0,,,
0,Requiem for a Dream,3.0,2739.0,0180093,1,2050.0,2011-02-15 17:34:07,2000.0,,,
1,Toy Story 3,3.0,964.0,0435761,1,961.0,2010-06-18 23:09:00,2010.0,,,
0,Singin&#39; in the Rain,3.0,342.0,0045152,1,612.0,2009-12-28 04:13:45,1952.0,,,
0,3 Idiots,1.0,4789.0,1187043,1,3066.0,2012-02-20 19:06:39,2009.0,,,
,,,,,,,,,Could not find movie,404,v1
0,Star Wars: Episode VI - Return of the Jedi,1.0,422.0,0086190,1,671.0,2010-01-26 22:35:13,1983.0,,,
0,2001: A Space Odyssey,0.0,842.0,0062622,1,919.0,2010-06-08 09:14:13,1968.0,,,
,Eternal Sunshine of the Spotless Mind,2.0,1.0,0338013,1,133.0,2008-08-02 19:38:09,2004.0,,,
0,Reservoir Dogs,0.0,1.0,0105236,1,18.0,2008-07-19 00:00:00,1992.0,,,
0,Capernaum,3.0,18342.0,8267604,1,9287.0,2020-09-28 09:38:28,2018.0,,,
0,Jagten,2.0,7021.0,2106476,1,4081.0,2013-04-23 19:52:00,2012.0,,,
0,Citizen Kane,1.0,1367.0,0033467,1,1266.0,2010-07-23 00:55:07,1941.0,,,
0,Lawrence of Arabia,0.0,1084.0,0056172,1,1042.0,2010-07-03 14:58:49,1962.0,,,
0,M,3.0,340.0,0022100,1,610.0,2009-12-28 04:11:29,1931.0,,,
0,Come and See,0.0,11800.0,0091251,1,6165.0,2015-03-26 19:19:48,1985.0,,,
0,North By Northwest,1.0,3117.0,0053125,1,2228.0,2011-04-23 19:08:51,1959.0,,,
0,Vertigo,1.0,339.0,0052357,1,609.0,2009-12-28 04:09:49,1958.0,,,
0,Amelie,3.0,1080.0,0211915,1,1038.0,2010-07-03 14:40:23,2001.0,,,
0,A Clockwork Orange,1.0,1081.0,0066921,1,1039.0,2010-07-03 14:41:53,1971.0,,,
0,"Apartment, The",3.0,2664.0,0053604,1,1995.0,2011-02-05 22:30:48,1960.0,,,
0,Double Indemnity,3.0,1585.0,0036775,1,1416.0,2010-08-01 13:06:26,1944.0,,,
0,Full Metal Jacket,0.0,499.0,0093058,1,720.0,2010-04-04 11:54:35,1987.0,,,
0,Ikiru,1.0,14042.0,0044741,1,7162.0,2016-09-29 13:54:48,1952.0,,,
0,Scarface,1.0,9751.0,0086250,1,5321.0,2014-03-25 03:28:14,1983.0,,,
0,Hamilton,3.0,18217.0,8503618,1,9225.0,2020-08-06 00:09:36,2020.0,,,
0,"Sting, The",1.0,3333.0,0070735,1,2316.0,2011-05-20 20:24:37,1973.0,,,
0,To Kill a Mockingbird,3.0,1158.0,0056592,1,1108.0,2010-07-07 18:20:21,1962.0,,,
0,Heat,2.0,1079.0,0113277,1,1037.0,2010-07-03 14:35:40,1995.0,,,
,Up,1.0,1.0,1049413,1,334.0,2009-06-03 19:17:31,2009.0,,,
0,Taxi Driver,1.0,3112.0,0075314,1,2223.0,2011-04-23 18:49:16,1976.0,,,
0,Incendies,3.0,3064.0,1255953,1,2188.0,2011-04-14 02:51:13,2010.0,,,
0,Metropolis,1.0,1368.0,0017136,1,1267.0,2010-07-23 00:56:19,1927.0,,,
0,A Separation,3.0,3986.0,1832382,1,2649.0,2011-09-01 21:31:52,2011.0,,,
0,L.A. Confidential,1.0,3125.0,0119488,1,2236.0,2011-04-23 20:21:53,1997.0,,,
0,Snatch.,0.0,1583.0,0208092,1,1414.0,2010-08-01 13:04:01,2000.0,,,
0,Bicycle Thieves,2.0,12718.0,0040522,1,6517.0,2015-10-26 15:39:47,1948.0,,,
0,Die Hard,3.0,402.0,0095016,1,619.0,2010-01-21 21:15:56,1988.0,,,
0,Indiana Jones and the Last Crusade,0.0,1092.0,0097576,1,1049.0,2010-07-04 03:11:38,1989.0,,,
,,,,,,,,,Could not find movie,404,v1
0,1917,0.0,17552.0,8579674,1,8962.0,2020-01-13 19:28:36,2019.0,,,
1,Der Untergang (Downfall),3.0,2214.0,0363163,1,1748.0,2010-11-10 23:50:55,2004.0,,,
0,For a Few Dollars More,0.0,5498.0,0059578,1,3413.0,2012-07-10 08:11:46,1965.0,,,
0,Batman Begins,1.0,1.0,0372784,1,40.0,2008-07-20 00:00:00,2005.0,,,
0,Dangal,3.0,14384.0,5074352,1,7374.0,2017-01-04 21:50:40,2016.0,,,
0,"Kid, The",0.0,6689.0,0012349,1,3945.0,2013-03-01 08:25:02,1921.0,,,
0,Some Like It Hot,3.0,2705.0,0053291,1,2023.0,2011-02-14 12:34:21,1959.0,,,
,All About Eve,3.0,4.0,0042192,1,139.0,2008-08-03 07:10:33,1950.0,,,
,,,,,,,,,Could not find movie,404,v1
0,Green Book,1.0,16659.0,6966692,1,8512.0,2018-12-05 16:44:46,2018.0,,,
0,"Wolf of Wall Street, The",3.0,8927.0,0993846,1,4922.0,2013-12-06 22:41:48,2013.0,,,
,,,,,,,,,Could not find movie,404,v1
0,Ran,1.0,3404.0,0089881,1,2352.0,2011-05-27 20:25:49,1985.0,,,
1,Casino,2.0,3109.0,0112641,1,2220.0,2011-04-23 18:40:16,1995.0,,,
0,El laberinto del fauno (Pan's Labyrinth),3.0,88.0,0457430,1,421.0,2009-08-07 01:10:39,2006.0,,,
0,Unforgiven,3.0,13777.0,0105695,1,7006.0,2016-07-29 08:43:19,1992.0,,,
,There Will Be Blood,0.0,11.0,0469494,1,177.0,2008-09-05 15:21:38,2007.0,,,
1,Spider-Man: No Way Home,3.0,19768.0,10872600,1,10166.0,2021-12-21 02:14:30,2021.0,,,
,"Truman Show, The",1.0,1.0,0120382,1,165.0,2008-08-11 15:57:10,1998.0,,,
1,"Sixth Sense, The",3.0,527.0,0167404,1,742.0,2010-04-18 15:21:06,1999.0,,,
,A Beautiful Mind,1.0,12.0,0268978,1,178.0,2008-09-09 17:39:12,2001.0,,,
0,Yojimbo,1.0,408.0,0055630,1,660.0,2010-01-22 01:59:53,1961.0,,,
1,Monty Python and the Holy Grail,2.0,2344.0,0071853,1,1839.0,2010-12-11 08:09:31,1975.0,,,
0,"Treasure of the Sierra Madre, The",0.0,5154.0,0040897,1,3239.0,2012-05-08 22:10:22,1948.0,,,
0,Shutter Island,1.0,495.0,1130884,1,716.0,2010-04-04 10:59:23,2010.0,,,
,Jurassic Park,3.0,1.0,0107290,1,109.0,2008-07-31 00:27:47,1993.0,,,
0,Rashomon,0.0,1540.0,0042876,1,1402.0,2010-07-28 20:54:44,1950.0,,,
,"Great Escape, The",0.0,17.0,0057115,1,202.0,2008-10-23 15:45:51,1963.0,,,
0,Kill Bill: Vol. 1,3.0,201.0,0266697,1,508.0,2009-09-17 22:10:08,2003.0,,,
1,No Country for Old Men,3.0,443.0,0477348,1,686.0,2010-02-18 09:40:48,2007.0,,,
0,Finding Nemo,1.0,579.0,0266543,1,778.0,2010-05-03 14:24:45,2003.0,,,
,,,,,,,,,Could not find movie,404,v1
0,"Thing, The",0.0,2391.0,0084787,1,1861.0,2010-12-20 00:31:05,1982.0,,,
0,Chinatown,2.0,3126.0,0071315,1,2237.0,2011-04-23 20:26:03,1974.0,,,
0,Raging Bull,1.0,1614.0,0081398,1,1437.0,2010-08-03 20:21:22,1980.0,,,
,Gone with the Wind,3.0,28.0,0031381,1,291.0,2009-03-02 14:31:54,1939.0,,,
,V for Vendetta,3.0,1.0,0434409,1,89.0,2008-07-28 18:57:16,2005.0,,,
0,Inside Out,3.0,12092.0,2096673,1,6255.0,2015-05-20 04:14:38,2015.0,,,
0,"Lock, Stock and Two Smoking Barrels",1.0,2074.0,0120735,1,1668.0,2010-10-18 01:39:37,1998.0,,,
