year,title,id,imdbid,rating
1874,Passage de Venus,9602,3155794,0
1877,La Rosace Magique,9804,14495706,0
1878,Sallie Gardner at a Gallop,9603,2221420,0
1878,Le singe musicien,9806,12592084,0
1881,Athlete Swinging a Pick,9816,7816420,0
1883,Buffalo Running,9831,5459794,0
1885,L&#39;homme machine,9832,8588366,0
1887,Man Walking Around the Corner,9614,2075247,0
1887,Cockatoo Flying,9836,8133192,0
1887,Child Carrying Flowers to Woman,9837,7411790,0
1887,Jumping Over a Man&#39;s Back-Leapfrog,9838,7541160,0
1887,Man Riding Jumping Horse,9841,7754902,0
1887,Baboon Climbing a Pole,9902,8361552,0
1888,Roundhay Garden Scene,8040,0392728,0
1888,Accordion Player,9615,1758563,0
1888,Traffic Crossing Leeds Bridge,9616,0343112,0
1888,Pferd und Reiter Springen uber ein Hindernis,9675,3274100,0
1888,Brighton Street Scene,9947,2116853,0
1889,"Leisurely Pedestrians, Open Topped Buses and Hansom Cabs with Trotting Horses",9619,0466876,0
1889,Hyde Park Corner,9945,2116898,0
1890,"Monkeyshines, No. 1",9617,0361921,0
1890,"Monkeyshines, No. 2",9618,0416046,0
1890,London&#39;s Trafalgar Square,9621,1202028,0
1890,"Monkeyshines, No. 3",9678,0416047,0
1890,Mosquinha,9946,5285442,0
1890,"Traffic in King&#39;s Road, Chelsea",9944,2116968,0
1891,Dickson Greeting,9626,0241373,0
1891,Men Boxing,9628,0241715,0
1891,Newark Athlete,9629,0241763,0
1891,"Duncan and Another, Blacksmith Shop",9792,0241393,0
1891,Duncan Smoking,9793,0241392,0
1891,Duncan or Devonald with Muslin Cloud,9794,0241394,0
1891,"Monkey and Another, Boxing",9795,0241735,0
1891,Je vous aime,9800,3201916,0
1891,La vague,9802,3508566,0
1891,Two Fencers,9943,5447082,0
1892,Pauvre Pierrot,5433,0000003,0
1892,Un bon bock,9631,0000004,0
1892,Le clown et ses chiens,9632,0000002,0
1892,Fencing,9951,0241446,0
1892,Le prince de Galles,9952,0234520,0
1892,Wrestling,9948,0242148,0
1892,Boxing,9986,0241266,0
1893,Blacksmith Scene,9583,0000005,0
1894,Annabelle Butterfly Dance,9636,0229217,0
1894,Edison Kinetoscope Records: Annie Oakley,9642,8419312,0
1894,Autour d&#39;une cabine,9646,0000015,0
1894,"Barbershop, The",9648,0229235,0
1894,Bucking Broncho,9649,0309396,0
1894,Buffalo Dance,9650,0309402,0
1894,Carmencita,9651,0000001,0
1894,Edison Kinetoscopic Record of a Sneeze,9652,0000008,0
1894,Dickson Experimental Sound Film,9654,0177707,0
1894,Chinese Opium Den,9655,0000006,0
1894,Corbett and Courtney Before the Kinetograph,9656,0000007,0
1894,Falling Cat,9662,2049440,0
1894,"Glenroy Bros., No. 2",9663,0312728,0
1894,Glenroy Brothers,9664,0256782,0
1894,Leonard-Cushing Fight,9668,0203646,0
1894,"Luis Martinetti, Contortionist",9671,0277115,0
1894,Sandow No. 2,9673,2161519,0
1894,Sandow No. 3,9674,2161521,0
1894,Reve au coin du feu,9681,0413219,0
1894,Miss Jerry,9779,0000009,0
1895,Tables Turned on the Gardener,5444,0000014,0
1895,"Execution of Mary, Queen of Scots, The",6200,0132134,0
1895,Akrobatisches Potpourri,9679,0000011,1
1895,Annabelle Serpentine Dance,9683,0154152,0
1895,Italienischer Bauerntanz,9714,0000017,0
1895,Baby&#39;s Dinner,9715,0000029,1
1895,Billy Edwards and the Unknown,9766,0477266,0
1895,Blacksmith Scene,9767,0000022,0
1895,Barque sortant du port,9787,0000016,0
1896,"House of the Devil, The",4982,0000091,0
1896,Une nuit terrible,5406,0000131,0
1896,La fee aux choux,5445,0223341,0
1896,"Arrival of a Train, The",6199,0000012,0
1896,Sandow,9672,1428455,0
1896,Alger: rue Bab-Azoun,9949,1672718,0
1896,Lassage des boeufs pour le labour,9950,1736599,0
1896,Lancement d&#39;un navire,9901,0222137,0
1897,Bataille de neige,9328,0000041,0
1898,Four Heads Are Better Than One,4978,0135696,0
1898,"Astronomer&#39;s Dream; or, The Man in the Moon, The",5410,0000211,0
1898,"Temptation of St. Anthony, The",5411,0224240,0
1899,A Turn of the Century Illusionist,4994,0000246,0
1899,Cinderella,5914,0000230,3
1900,Sherlock Holmes Baffled,1594,0291476,0
1900,"Enchanted Drawing, The",4271,0000300,0
1900,Grandma&#39;s Reading Glass,4343,0000304,0
1900,As Seen Through A Telescope (a.k.a The Professor and His Field Glass),4344,0000272,0
1900,Explosion of a Motor Car (a.k.a The Dlights of Automobiling),4345,0257654,0
1900,Hamlet ( Le Duel d&#39;Hamlet),4346,0000306,0
1900,"One-Man Band, The",4993,0135453,0
1900,Grandma Threading Her Needle,5069,0377995,0
1900,"Searching Ruins on Broadway, Galveston, for Dead Bodies",5072,0230746,0
1900,Let Me Dream Again,5438,0000313,0
1900,"Doctor and the Monkey, The",5446,0227438,0
1901,L&#39;homme a la tete en caoutchouc,4995,0000359,0
1901,Reve et realite,5437,0258104,0
1901,Bluebeard,5500,0131934,0
1902,Le voyage dans la lune,1252,0000417,0
1902,Gulliver&#39;s Travels,5431,0229024,0
1902,"Twentieth Century Tramp; or, Happy Hooligan and His Airship, The",5432,0367177,0
1902,Mephistopheles&#39; School of Magic,5443,0000413,0
1903,"Great Train Robbery, The",1319,0000439,0
1903,"Infernal Boiling Pot, The",5002,0135180,0
1903,"Music Lover, The",5063,0000455,0
1903,"Monster, The",5064,0223755,0
1903,"Enchanted Well, The",5683,0189498,0
1904,"Cook in Trouble, The",5224,0215664,0
1904,"Living Playing Cards, The",5404,0135179,0
1904,"Untamable Whiskers, The",5601,0135631,0
1904,Le voyage a travers l&#39;impossible,6135,0000499,0
1905,"Scheming Gambler&#39;s Paradise, The",5003,0135690,0
1905,"Black Imp, The",5602,0215575,0
1906,"Story of the Kelly Gang, The",1349,0000574,1
1906,"Mysterious Retort, The",5024,0216016,0
1906,Humorous Phases of Funny Faces,5435,0000554,0
1906,"Hilarious Posters, The",5603,0135122,0
1906,"400 Tricks of the Devil, The",5684,0000567,0
1906,A Funny Shave,6206,0449172,0
1906,"Consequence of Feminism, The",7215,1260944,0
1907,"Eclipse: Courtship of the Sun and Moon, The",5223,0215737,0
1907,Good Glue Sticks,5615,0215817,0
1908,Unusual Cooking,6231,1802750,0
1909,"Princess Nicotine; or, The Smoke Fairy",4409,0001009,2
1909,"Devilish Tenant, The",5635,0127948,0
1909,Le barometre de la fidelite,6211,0277596,1
1910,Tilly the Tomboy Visits the Poor,1464,0232821,3
1910,Mobilier fidele,4983,0486978,0
1910,A Trip to Mars,5685,1515725,0
1912,Cleopatra,2003,0002101,2
1912,"Invaders, The",2005,0002281,0
1912,Max and the Donkey,5357,0277865,0
1913,"Voyage of the Bourrichon Family, The",5364,0003512,0
1913,Suspense,5915,0003424,0
1914,A Florida Enchantment,4457,0003973,2
1915,"Birth of a Nation, The",1258,0004972,2
1916,Gretchen the Greenhorn,2008,0006745,3
1916,Lady Windermere&#39;s Fan,2014,0279914,3
1916,"Vagabond, The",5368,0007507,0
1916,Intolerance: Love&#39;s Struggle Throughout the Ages,5944,0006864,0
1916,Snow White,7004,0007361,3
1917,A Tale of Two Cities,1981,0008652,3
1917,Rebecca of Sunnybrook Farm,1993,0008499,3
